ticker,timestamp,open,high,low,close,volume
MRK,1/30/09,30.46,31.66,26.87,28.55,264083500
MRK,12/31/08,26.37,30.57,24.13,30.4,309917200
MRK,11/28/08,30.93,31.3,22.82,26.72,288339600
MRK,10/31/08,31.42,32.46,23.64,30.95,471992600
MRK,9/30/08,35.62,36.075,30.34,31.56,344917200
MRK,8/29/08,33.09,36.73,32.74,35.67,259200800
MRK,7/31/08,37.34,38.9,31.15,32.9,509814600
MRK,6/30/08,38.9,38.99,34.49,37.69,422514200
MRK,5/30/08,38.05,40.45,37.8,38.96,284443800
MRK,4/30/08,38.42,42.24,36.8,38.04,576788200
MRK,3/31/08,44.28,45.73,36.82,37.95,381436300
MRK,2/29/08,46.2,48.23,44.13,44.3,301121200
MRK,1/31/08,58.03,61.18,42.32,46.1,468739700
MRK,12/31/07,58.94,61.62,56.56,58.11,225164100
MRK,11/30/07,57.88,60.49,54.06,59.36,304006900
MRK,10/31/07,52,58.26,51.44,58.26,241501200
MRK,9/28/07,50.49,52.83,48.8,51.69,190699100
MRK,8/31/07,49.62,52.74,48.11,50.17,252721100
MRK,7/31/07,49.91,53.81,48.43,49.65,290100100
MRK,6/29/07,52.87,52.9,48,49.8,266895900
MRK,5/31/07,51.65,55.14,50.54,52.45,234967300
MRK,4/30/07,44.64,52.63,44.52,51.44,254707600
MRK,3/30/07,44,44.96,42.76,44.17,227502100
MRK,2/28/07,44.9,45.44,42.35,44.15,204242200
MRK,1/31/07,44.03,46.55,43.16,44.75,180030000
MRK,12/29/06,44.65,45.9,42.63,43.6,199626300
MRK,11/30/06,45.99,46.32,42.29,44.51,263203400
MRK,10/31/06,42.15,46.37,41.24,45.42,221964000
MRK,9/29/06,40.52,42.51,39.9,41.9,166075900
MRK,8/31/06,40.38,41.78,38,40.55,247940100
MRK,7/31/06,36.9,41.76,35,40.27,232498200
MRK,6/30/06,33.51,36.84,33.12,36.43,195372800
MRK,5/31/06,34.5,35.51,32.75,33.29,222474000
MRK,4/28/06,35.47,36.09,33.55,34.42,168042500
MRK,3/31/06,35.05,36.5,34.34,35.23,154184700
MRK,2/28/06,34.27,36.65,33.56,34.86,173221200
MRK,1/31/06,32.52,34.88,31.81,34.5,207353900
MRK,12/30/05,29.69,32.54,27.99,31.81,264066600
MRK,11/30/05,28.45,31.01,27.8,29.4,230326900
MRK,10/31/05,27.42,28.26,25.5,28.22,206969900
MRK,9/30/05,28.32,29.46,26.97,27.21,176674300
MRK,8/31/05,31.24,31.46,27,28.23,260286400
MRK,7/29/05,30.8,32.34,29.9,31.06,147348400
MRK,6/30/05,32.2,32.5,30.12,30.8,153865200
MRK,5/31/05,34.07,35.2,32.22,32.44,160131900
MRK,4/29/05,32.67,35.36,31.98,33.9,213800400
MRK,3/31/05,32.06,32.6,31.1,32.37,165177800
MRK,2/28/05,28.06,32.61,27.78,31.7,264624900
MRK,1/31/05,31.99,32.23,27.48,28.05,260178300
MRK,12/31/04,27.85,32.66,27.32,32.14,351847500
MRK,11/30/04,29.34,29.8,25.6,28.02,574756400
MRK,10/29/04,33.69,34.32,29.75,31.31,464902600
MRK,9/30/04,44.59,45.99,32.46,33,254528900
MRK,8/31/04,45.3,47,43.46,44.97,108660600
MRK,7/30/04,47.65,47.73,44.25,45.35,113875100
MRK,6/30/04,47.4,48.78,46.88,47.5,111659200
MRK,5/28/04,47.01,48.41,45.83,47.3,102342900
MRK,4/30/04,44.55,47.6,44.28,47,126639900
MRK,3/31/04,48.42,48.6,42.85,44.19,170149400
MRK,2/27/04,47.88,49.33,47.36,48.08,130519000
MRK,1/30/04,48.88,48.88,45.5,47.6,177326500
MRK,12/31/03,41.25,46.3,41.17,46.2,193220300
MRK,11/28/03,44.25,47.15,40.57,40.6,243270600
MRK,10/31/03,50.76,51.95,43.88,44.25,203759200
MRK,9/30/03,50.15,54.3,50.11,50.62,127555600
MRK,8/29/03,55.01,56.049,49.48,50.32,136645500
MRK,7/31/03,60.5,62.69,55.03,55.28,137316200
MRK,6/30/03,55.8,63.5,55.63,60.55,138340200
MRK,5/30/03,58.18,59.88,54.1,55.58,133527600
MRK,4/30/03,55.1,59.55,54.65,58.18,128384400
MRK,3/31/03,53.35,56.85,49.9,54.78,121485900
MRK,2/28/03,55.4,56.31,51.6,52.75,95217700
MRK,1/31/03,57.58,60.24,51.5,55.39,126663800
MRK,12/31/02,60.45,60.45,55.16,56.61,137509400
MRK,11/29/02,53.5,60.48,51.8,59.41,156086000
MRK,10/31/02,46.3,55.24,43.35,54.24,175238500
MRK,9/30/02,49.45,50.33,44.44,45.71,115605400
MRK,8/30/02,49.36,54,45.35,50.52,120721100
MRK,7/31/02,50.89,51.09,38.5,49.6,243775300
MRK,6/28/02,57.05,57.19,47.6,50.64,148994400
MRK,5/31/02,54.05,58.85,54.01,57.1,118996300
MRK,4/30/02,57.8,57.8,51,54.34,183171600
MRK,3/28/02,61.36,64.5,56.98,57.58,142506400
MRK,2/28/02,59.6,62.48,57.7,61.33,102661600
MRK,1/31/02,59.15,59.88,56.71,59.18,137696200
MRK,12/31/01,68.5,68.57,56.8,58.8,176851900
MRK,11/30/01,63.81,68.13,63.42,67.75,100663000
MRK,10/31/01,66.85,70.6,63.8,63.81,110665200
MRK,9/28/01,65.2,69.24,60.85,66.6,117869500
MRK,8/31/01,67.51,71.5,64.76,65.1,99197800
MRK,7/31/01,64.05,69,60.35,67.98,137594500
MRK,6/29/01,72,75.85,63.65,63.91,122140200
MRK,5/31/01,75.15,79.16,71.76,72.99,100152000
MRK,4/30/01,75.4,80.85,72,75.97,112501100
MRK,3/30/01,80.5,81.03,66,75.9,131672500
MRK,2/28/01,82.75,85.55,76.4,80.2,98160000
MRK,1/31/01,93.38,95.25,78.56,82.18,145525200
MRK,12/29/00,91.5,95.94,88.13,93.63,118397100
MRK,11/30/00,90,96.69,86.31,92.69,146738900
MRK,10/31/00,74.31,90,72.88,89.94,143477900
MRK,9/29/00,69.06,74.88,65,74.44,84915800
MRK,8/31/00,71.13,75.44,69.88,69.89,79607700
MRK,7/31/00,76.06,77.38,63,71.66,123607200
MRK,6/30/00,74.06,76.73,68.69,76.63,97918300
MRK,5/31/00,69.5,75.38,66.75,74.31,94935900
MRK,4/28/00,62.38,72.81,61.88,69.5,120776200
MRK,3/31/00,61.5,65.94,52,62.13,186338800
MRK,2/29/00,77.38,78.38,59.19,61.56,133126800
MRK,1/31/00,68.63,79,64.75,78.63,127423900
MRK,12/31/99,77.75,78.13,66.06,67.19,110562800
